Ref,Val,Package,PosX,PosY,Rot,Side
"C6","10u/50V","C_1206_3216Metric",8.750000,-23.500000,0.000000,bottom
"C7","22u/16v","C_1206_3216Metric",10.000000,-5.500000,90.000000,bottom
"C9","22u/16v","C_1206_3216Metric",21.000000,-6.275000,-90.000000,bottom
"C10","4.7u","C_1206_3216Metric",21.750000,-10.500000,180.000000,bottom
"C11","4.7u","C_1206_3216Metric",21.750000,-22.000000,180.000000,bottom
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",6.750000,-28.750000,180.000000,bottom
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",15.000000,-28.750000,180.000000,bottom
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",23.500000,-28.750000,180.000000,bottom
"L1","22uH","VLS5045EX330M",15.750000,-4.700000,90.000000,bottom
"PS1","PXO7805-500-M-TR","CONV_PXO7805-500-M-TR",8.000000,-15.250000,0.000000,bottom
"U5","AP2114HA-3.3TRG1","SOT-223-3_TabPin2",21.250000,-16.000000,180.000000,bottom
