Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",24.250000,-15.750000,0.000000,top
"C2","100n","C_0805_2012Metric",20.000000,-2.000000,0.000000,top
"C3","100n","C_0805_2012Metric",24.200000,-9.500000,0.000000,top
"C4","100n","C_0805_2012Metric",15.750000,-5.000000,0.000000,top
"C5","10u","C_0805_2012Metric",9.975000,-5.000000,0.000000,top
"C8","100n","C_0805_2012Metric",21.250000,-30.500000,90.000000,top
"J1","Conn_01x06_Male","testpoint_01x06",5.130000,-30.000000,0.000000,top
"R1","10K","R_0805_2012Metric",12.500000,-2.250000,0.000000,top
"R2","4K7","R_0805_2012Metric",5.587500,-33.000000,180.000000,top
"R3","4K7","R_0805_2012Metric",1.500000,-32.000000,90.000000,top
"U1","ESP32-WROOM-32U","ESP32-WROOM-32U",11.095000,-16.750000,-90.000000,top
"U2","BMI088","PQFN50P450X300X100-16N",24.750000,-12.665000,0.000000,top
"U3","SN74LV1T34DBVR","SN74LV1T34DBVR",23.700000,-23.700001,0.000000,top
"U4","SP485","SOIC-8_3.9x4.9mm_P1.27mm",26.250000,-30.000000,-90.000000,top
