Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C3, C4, C8",0805,6,100n,C49678
"C10, C11",1206,2,4.7u,C29823
C5,0805,1,10u,C15850
C6,1206,1,10u/50V,C13585
"C7, C9",1206,2,22u/16v,C12891
"D1, D2, D3",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm_marked,3,WS2812B,
J2,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04_Pin,
"J3, J4",Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical,2,Conn_01x04,
L1,VLS5045EX330M,1,VLS5045EX-220M,
PS2,PXO7805-500-M-TR,1,PXO7805-500-M-TR,
R1,0805,1,10K,C17414
"R2, R3",0805,2,4K7,C17673
"SW1, SW2, SW3",RND 210-00211,3,SW_Push,
U1,ESP32-WROOM-32UE,1,ESP32-WROOM-32U,C3013937
U2,BMI088,1,BMI088,C194919
U3,SOT-23-5,1,SN74LV1T34DBV,C100024
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,SP485,C6855
U5,SOT-223-3_TabPin2,1,AP2114HA-3.3TRG1,C460314
