Designator,Mid X,Mid Y,Rotation,Layer
C1,22.352,-8.448,90.0,top
C10,25.351,-24.384,180.0,top
C11,25.195,-14.224,180.0,top
C12,19.375,-29.25,0.0,top
C2,10.139,-2.426,0.0,top
C3,28.6,-9.648,270.0,top
C4,16.764,-3.876,90.0,top
C5,14.264,-3.876,90.0,top
C6,27.475,-22.25,180.0,bottom
C7,5.25,-9.5,0.0,bottom
C8,28.5,-31.55,90.0,top
C9,5.0,-20.0,180.0,bottom
D1,8.0,-4.0,270.0,bottom
D2,15.0,-4.0,270.0,bottom
D3,22.0,-4.0,270.0,bottom
J1,8.34,-30.33,0.0,top
J2,1.25,-30.0,0.0,top
J3,23.6,-37.2,180.0,top
J4,6.4,-37.2,180.0,top
L1,5.0,-15.0,0.0,bottom
PS1,16.8625,-16.2,90.0,bottom
R1,10.1015,-4.926,180.0,top
R2,15.9,-28.7875,270.0,top
R3,15.9,-32.5375,270.0,top
SW1,24.384,-29.328,270.0,bottom
SW2,15.494,-29.328,270.0,bottom
SW3,5.5,-29.328,270.0,bottom
U1,10.995,-16.374,270.0,top
U2,25.435,-9.398,270.0,top
U3,19.1625,-32.15,0.0,top
U4,24.595,-30.025,180.0,top
U5,25.35,-19.304,0.0,top
